0,60,245,70,0
0,120,245,130,0
0,180,210,190,0
250,0,260,230,0
0,281,39,291,0
59,281,109,291,0
500,99,1165,109,0
90,221,239,230,0
240,221,249,230,2
90,231,271,241,1
272,300,329,315,0
585,44,615,54,1
261,0,271,230,2
491,300,500,315,2
500,110,939,119,2
0,338,200,348,2
585,38,615,43,2
579,38,584,54,2
616,38,621,54,2
0,670,1200,675,2
330,300,490,315,3
1190,0,1200,390,0
950,410,1200,420,0
1005,380,1190,390,2
940,110,949,420,0
1197,390,1200,409,5
1005,275,1010,379,2
950,225,1010,235,2
1080,290,1095,300,0
1040,265,1055,270,0
1154,275,1169,285,0
1111,320,1126,330,0
