0,220,25,234,0
71,130,83,637,0
62,4,156,17,0
84,311,115,329,0
84,372,115,390,0
84,436,115,454,0
84,497,115,516,0
84,557,116,575,0
84,618,116,637,0
137,648,168,666,0
137,588,168,605,0
137,528,168,545,0
137,403,168,420,0
137,342,320,360,0
507,411,521,576,0
434,604,616,616,0
764,480,781,563,0
782,549,1108,563,0
71,117,83,129,3
85,97,128,109,2
115,110,128,288,2
84,275,114,288,2
277,285,443,300,1
415,195,506,210,2
507,195,521,410,2
617,604,666,616,3
658,420,806,433,2
658,434,806,446,1
873,488,909,502,1
990,488,1026,501,1
1109,549,1185,563,2
1095,527,1108,548,5
137,528,168,546,0
137,57,182,71,2
168,71,182,296,2
137,467,168,485,0
169,361,183,674,2
0,666,1200,685,0
