466,583,492,601,0
502,551,602,570,0
536,246,573,646,0
913,612,994,624,0
1021,572,1102,583,0
1121,534,1179,549,0
1158,620,1200,639,5
0,648,1200,675,2
421,518,515,530,3
322,478,403,492,3
242,372,340,387,3
379,330,476,346,3
261,264,364,274,3
297,159,391,173,3
435,103,539,119,3
638,119,768,140,3
583,202,711,214,3
771,238,868,256,3
669,331,777,352,3
770,426,876,445,3
648,503,745,519,3
403,409,422,424,2
498,233,521,251,2
386,212,404,227,2
567,101,579,114,2
759,283,776,298,2
611,399,629,413,2
808,476,822,490,2
0,588,121,609,0
150,573,234,591,0
265,602,341,619,0
359,575,440,591,0
